crate,dir_name,primary_lib,repository,version,downloads,updated_at,type,lib_or_app,is_workspace,feature_label,workspace_pathway,owner,test_use,bench_use,total_loc,unsafe_loc,unsafe_pct,test_case_count,api_total,api_covered_pre,api_pct_pre,line_pct_pre,api_covered_post,api_pct_post,line_pct_post,boosted,tests_generated,iterations_used,description
serde_yaml,serde_yaml,serde_yaml,https://github.com/dtolnay/serde-yaml,0.9.34,120029465,2024-03-25T00:50:19.759577Z,Serialization,lib,False,default,,AN,FALSE,,8724,255,2.923,174,90,34,37.78,49.83,78,86.67,54.26,True,5,2,"The 174 tests cover roughly 41% of the public API surface with only 49.8% line coverage, indicating that substantial portions of serialization and deserialization paths—including edge cases and error handling—remain unexercised. With 2.92% unsafe code (approximately 250 lines), the low overall coverage creates a meaningful risk that unsafe regions are insufficiently stressed, particularly under adversarial or malformed inputs. The suite would need significant augmentation—targeting untested API entry points and specifically the unsafe code paths—before it could serve as an adequate baseline..."
sharded-slab,sharded-slab,sharded_slab,https://github.com/hawkw/sharded-slab,0.1.7,167368835,2023-10-04T19:37:55.401239Z,Data Structures,lib,False,default,,AN,FALSE,,4317,180,4.1696,12,28,22,78.57,59.33,27,96.43,73.69,True,2,2,"The test suite is thin relative to the crate's API surface, with only 12 tests covering roughly half of the 232 public functions and achieving 59.3% line coverage, which is insufficient for a concurrent data structure containing unsafe code. Key gaps likely exist around edge cases in slab entry lifecycle management, concurrent access patterns, and the specific unsafe blocks that handle low-level shard indexing and memory operations. For unsafe instrumentation benchmarking, this suite would need significant augmentation—particularly stress tests exercising concurrent insert/remove/get paths ..."
signal-hook,signal-hook,signal_hook,https://github.com/vorner/signal-hook,0.3.17,28440249,2025-04-20T09:53:24.168017Z,System/OS,workspace,True,workspace/all-features,signal-hook/tests,DO,TRUE,,3269,314,9.6054,39,34,28,82.35,73.45,28,82.35,72.55,False,0,0,"The 39 tests cover 55.8% of the 77 public API methods and 72.6% of lines across a 3.3K-line workspace with a significant 9.61% unsafe ratio, indicating that core signal registration, handler installation, and basic signal delivery paths are exercised while roughly 34 methods—likely including iterator-based signal handling, low-level sigaction wrappers, and cleanup/unregister operations—remain untested. The ~317 lines of unsafe code involve direct signal handler registration via libc, global mutable state manipulation in async-signal-safe contexts, and raw atomic operations in signal-handler..."
simdutf8,simdutf8,simdutf8,https://github.com/rusticstuff/simdutf8,0.1.5,41062528,2024-09-22T09:18:22.610907Z,Parsing/Text,lib,False,default,,,FALSE,,1953,296,15.1562,13,6,6,100.0,73.26,6,100.0,73.26,False,0,0,"The 13 tests cover an impressive 85.1% of the public API and 73.3% of lines across a 2.0K-line crate with a high 15.16% unsafe ratio, indicating the core SIMD-accelerated UTF-8 validation paths—including SSE, AVX2, and fallback implementations—are exercised, though the 27% uncovered lines likely correspond to architecture-specific SIMD branches not reachable on the test platform. The ~303 lines of unsafe code span SIMD intrinsics, unaligned loads, and manual chunk processing where instrumentation overhead could directly affect alignment assumptions and vectorized control flow, making the co..."
siphasher,siphasher,siphasher,https://github.com/jedisct1/rust-siphash,1.0.1,158945883,2024-03-17T21:59:01.698376Z,Utilities,lib,False,all-features,,DO,TRUE,,1376,61,4.4331,13,39,25,64.1,73.65,39,100.0,90.35,True,12,2,"The 13 tests cover roughly two-thirds of the public API and achieve 73.7% line coverage, which is reasonable for a hashing utility but leaves notable gaps given the 87 public functions/methods. The 4.43% unsafe code (likely for unaligned reads or transmutes in the core hashing loop) is critical to correctness, and with over a quarter of lines uncovered, there is a meaningful risk that some unsafe paths lack direct test exercising. For unsafe instrumentation benchmarking, the suite should be augmented with tests targeting uncovered API entry points and edge cases around alignment and partial..."
slotmap,slotmap,slotmap,https://github.com/orlp/slotmap,1.0.7,25213011,2023-11-30T21:58:03.103403Z,Data Structures,lib,False,all-features,,AN,FALSE,,4388,202,4.6035,10,161,79,49.07,54.02,140,86.96,77.79,True,5,2,"The test suite covers roughly 40% of the 252 public API functions with only 10 tests, resulting in 54% line coverage, which is notably thin for a data structure crate of this size. Key gaps include the majority of public methods being unexercised, which is particularly concerning given the 4.6% unsafe code that likely underpins core slot allocation, indexing, and memory management operations. This suite is inadequate for unsafe instrumentation benchmarking and would need significant augmentation—especially targeting iterator implementations, removal paths, and secondary map operations—to pr..."
smallvec,smallvec,smallvec,https://github.com/servo/rust-smallvec,2.0.0-alpha.11,406125026,2025-04-05T00:46:59.289860Z,Data Structures,lib,False,default,,AN,TRUE,,2648,406,15.3323,62,50,40,80.0,91.88,40,80.0,91.88,False,0,0,"The test suite achieves strong line coverage at 91.9% with 62 tests exercising roughly three-quarters of the public API, which is solid for a compact data structure crate where many methods are thin wrappers over core allocation and inline-storage logic. The 25% uncovered API surface is a moderate concern given that 15.33% of the codebase is unsafe—any untested methods that touch inline-to-heap transitions, capacity changes, or raw pointer manipulation represent meaningful gaps for unsafe instrumentation benchmarking. The suite is a good foundation but should be augmented with targeted test..."
tokio,tokio,tokio,https://github.com/tokio-rs/tokio,1.44.2,8369813,2025-04-08T07:48:44.833815Z,Async/Network,workspace,True,workspace/all-features,"tokio/tokio, tokio/tokio/tests, tokio/tests-integration",OF,TRUE,TRUE,56739,1814,3.1971,2455,17,16,94.12,75.82,16,94.12,75.79,False,0,0,"The 2455-test suite achieves 75.8% line coverage and exercises roughly two-thirds of the public API, which is reasonable for a complex async runtime but leaves approximately 900 public functions/methods untested, likely in less common combinators, configuration builders, and platform-specific paths. The 3.2% unsafe footprint—concentrated in critical areas like the I/O driver, task harness, and synchronization primitives—demands higher-than-average coverage in those modules, and the current 75.8% line coverage suggests some unsafe paths (particularly edge cases in waker handling, memory recl..."
triomphe,triomphe,triomphe,https://github.com/Manishearth/triomphe,0.1.14,34717272,2024-10-07T04:02:22.368103Z,Concurrency,lib,False,default,,OF,TRUE,,1995,237,11.8797,39,75,53,70.67,77.14,68,90.67,85.77,True,3,4,"The test suite covers 68.1% of the API surface with 77.1% line coverage, which is reasonable but leaves roughly a third of public functions untested — a concern given that ~12% of the codebase is unsafe and the crate handles concurrent reference counting where subtle memory safety bugs are common. The 39 tests likely exercise core Arc-like operations but the coverage gaps suggest that edge cases around thin pointers, unique arc unwrapping, or less common conversion paths may lack validation, which are exactly the areas where unsafe instrumentation would need reliable baseline behavior. The ..."
unicode-normalization,unicode-normalization,unicode_normalization,https://github.com/unicode-rs/unicode-normalization,0.1.24,274412707,2024-09-17T15:27:12.950740Z,Parsing/Text,lib,False,default,,DO,TRUE,,23870,48,0.2011,13,25,21,84.0,89.26,21,84.0,89.26,False,0,0,"The test suite achieves strong line coverage at 89.3% and covers 80.5% of the public API with only 13 tests, indicating each test exercises substantial normalization logic across multiple code paths. The 0.2% unsafe footprint is minimal, and given the high line coverage, the unsafe code is almost certainly exercised by the existing tests, making the suite adequate for unsafe instrumentation benchmarking without augmentation. The 15 uncovered API entries and ~11% uncovered lines represent a minor gap, but for a deterministic text-processing crate with negligible unsafe usage, this suite prov..."
utf-8,utf8parse,utf8,https://github.com/alacritty/vte,0.7.6,162496449,2024-06-08T07:07:41.813419Z,Parsing/Text,workspace,False,default,Run in Workspace,DO,TRUE,,353,5,1.4164,26,12,11,91.67,87.2,11,91.67,87.2,False,0,0,"The 26 tests cover 68.4% of the 19 public API methods and achieve a strong 87.2% line coverage across a 3.0K-line crate with a low 0.5% unsafe ratio, indicating thorough exercise of the core UTF-8 state machine parser including valid multi-byte sequences, continuation byte handling, and invalid byte rejection while roughly 6 methods—likely including some parser state accessors, reset functions, or less-common receiver trait implementations—remain untested. The ~15 lines of unsafe code are minimal and likely involve unchecked table lookups or byte-to-char conversions within the state machine..."
uuid,uuid,uuid,https://github.com/uuid-rs/uuid,1.16.0,268472098,2025-03-14T04:14:24.373430Z,Utilities,workspace,True,workspace/all-features,uuid/tests,DO,TRUE,,5055,31,0.6133,68,67,54,80.6,83.63,54,80.6,83.63,False,0,0,"The 68 tests cover 77.6% of the 152 public API methods and 83.6% of lines across a 5.1K-line workspace with a low 0.61% unsafe ratio, indicating solid exercise of core UUID generation (v1, v4, v5, v7), parsing, formatting, and comparison operations while roughly 34 methods—likely including less-common builder configurations, non-standard encoding variants, and some version-specific accessors—remain untested. The ~31 lines of unsafe code are likely confined to byte-array-to-UUID transmutations or SIMD-assisted formatting and are almost certainly reached within the 83.6% covered lines, posing..."
value-bag,value-bag,value_bag,https://github.com/sval-rs/value-bag,1.11.1,49370447,2025-03-26T05:08:41.098428Z,Utilities,workspace,True,workspace/all-features,Run in Workspace,DO,TRUE,,5814,9,0.1548,20,22,19,86.36,69.46,19,86.36,69.46,False,0,0,"The test suite provides moderate coverage with only 20 tests spanning 202 public API items, achieving 72.8% API coverage and 69.5% line coverage, leaving roughly a third of the codebase unexercised. The low test count relative to the API surface suggests tests are likely integration-style rather than fine-grained unit tests, which means edge cases around the small amount of unsafe code (0.15%) may not be thoroughly stressed. For unsafe instrumentation benchmarking, the suite would benefit from augmentation to close the ~30% coverage gap and add targeted tests around any unsafe blocks to ens..."
winnow,winnow,winnow,https://github.com/winnow-rs/winnow,0.7.9,199942476,2025-05-02T15:04:13.747594Z,Parsing/Text,workspace,True,workspace/all-features,winnow/tests,AN,FALSE,,26192,26,0.0993,230,154,112,72.73,74.64,126,81.82,76.93,True,6,5,"The 230 tests cover 68.9% of a large 501-method public API and 74.6% of lines across a 26.2K-line workspace, indicating that core combinator parsers, streaming/complete mode variants, and primary input types are well-exercised while roughly 156 public methods—likely including many specialized combinators, error recovery helpers, and less-common stream trait implementations—remain untested. The 0.1% unsafe ratio is negligible, amounting to roughly 26 lines that are almost certainly within the well-covered parsing core, making unsafe instrumentation risk effectively nonexistent. The suite is ..."
zopfli,zopfli,zopfli,https://github.com/zopfli-rs/zopfli,0.8.2,15606245,2025-04-18T13:36:47.361779Z,Serialization,lib,False,default,,DO,TRUE,,3358,6,0.1787,10,11,6,54.55,80.52,10,90.91,94.66,True,3,2,"The 10 tests cover 72.5% of the public API and 80.2% of lines across a 3.4K-line crate with a negligible 0.18% unsafe ratio, indicating that the core Zopfli compression paths—deflate, gzip, and zlib output formats—are exercised through a small number of integration-style tests while roughly 42 public methods, likely including block splitting, LZ77 parameter accessors, and iteration-control configuration, lack direct coverage. The minimal unsafe code amounts to roughly 6 lines and is almost certainly within the 80.2% covered lines, posing no meaningful instrumentation risk. The suite is adeq..."
bytes,bytes,bytes,https://github.com/tokio-rs/bytes,1.0.1,1500000000,2020-12-31T00:00:00.000000Z,Buffers/IO,lib,False,default,,AN,TRUE,,2956,563,19.0460,108,58,31,53.45,60.10,31,53.45,60.10,False,13,0,"bytes 1.0.1 vendored from crates.io. Two integration tests (test_bytes_odd_alloc, test_bytes_vec_alloc) were disabled because they install a custom #[global_allocator] that conflicts with the unsafe-perf heap_tracker hook; 13 hand-written substitute tests in recipes/bytes/tests/gen_bytes_alloc.rs exercise the same Vec->Bytes vtable paths (promotable even/odd, clone-promotion, advance/truncate/split, drop ordering) under the system allocator. unsafe_counter feature runs with --enable-stdlib-api-tracker disabled (stage1 1.80-dev rustc ICEs on shallow_clone_vec at src/bytes.rs:1053, MIR unwind invariants). Vendored as the bytes-utils replacement to enable a direct TRust comparison on bytes 1.0.1."
